ResponseID,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_NWPsPVy56XeBPBT,GSAS,Doctor of Philosophy,Adv Stdng,Nutrition & Health Science,NHSPHD,Major,No Dorm,USA,6,5,5,2,5,1,1,1,3,3,4,4,5,5,5,5,4,4,5,0,3,3,5,4,4,4,4,0,3,4,3,1,1,0,0,2,0,4,1,4,5,6,0,0,1,0,0
R_2V3Wzt5s4YAeF2p,GSAS,Doctor of Philosophy,Adv Stdng,Psychology,PSYCPHD,Major,No Dorm,USA,4,2,1,1,1,1,1,5,1,3,5,5,3,6,2,3,5,3,4,5,5,5,5,5,5,3,5,5,5,1,3,1,1,1,0,2,0,4,1,5,6,4,0,0,1,0,0
R_1hNdharjdOsUytE,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,5,4,5,6,1,1,1,3,3,2,5,3,3,5,2,2,3,4,4,4,0,0,5,4,0,4,3,0,4,1,2,1,1,0,0,2,0,4,1,5,7,4,1,0,0,0,0
R_3foDW38IldAoEXI,GSAS,Doctor of Philosophy,Adv Stdng,Nutrition & Health Science,NHSPHD,Major,No Dorm,USA,5,1,7,3,2,1,1,3,1,2,5,5,4,7,5,5,4,4,5,4,5,0,5,4,4,4,4,0,5,2,2,1,1,0,0,2,0,4,1,4,4,4,1,0,0,0,0
R_2ZPleqjaur9rt23,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,3,7,6,5,6,3,1,4,2,2,5,4,4,6,3,3,5,4,5,4,3,5,5,0,0,3,3,2,3,3,2,1,1,0,0,2,0,2,1,5,5,4,1,0,0,0,0
R_2aOExJx7Vxl9Kzz,GSAS,Doctor of Philosophy,Adv Stdng,Psychology,PSYCPHD,Major,No Dorm,USA,7,6,7,5,3,1,1,6,1,1,6,6,6,1,6,1,,,,,,,,,,,,,,,,0,0,0,0,2,0,4,1,5,6,4,1,0,0,0,0
R_1BV2227bkCRRinC,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,No Dorm,USA,5,5,3,7,3,2,1,4,2,3,5,5,5,2,3,4,5,4,4,0,5,4,5,0,5,4,0,4,5,3,2,1,1,0,0,1,1,0,1,3,3,4,1,0,0,0,0
R_RCCjheBmxfhFI65,UCOL,Liberal Arts & Sciences,Senior,Film Studies,FILMSTBA,Major,No Dorm,USA,7,5,5,7,5,3,3,3,2,5,4,4,4,3,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,0,0,1,1,0,1,5,6,4,1,0,0,0,0
R_2eQ3waKPgzISzIJ,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Raoul Hall,USA,6,6,6,6,3,2,1,3,5,4,5,4,4,3,4,6,5,4,5,5,5,0,5,5,5,5,4,0,5,4,4,1,1,0,0,1,3,0,1,6,7,1,1,0,0,0,0
R_2cjFpEDao5lztLz,UCOL,Liberal Arts & Sciences,Junior,Human Health,HHBA,Major,Clairmont Undergraduate Apts,USA,6,5,6,6,7,3,5,6,5,5,7,6,5,6,6,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,0,1,4,6,2,1,0,0,0,0
R_21c8ur1AuWTMFY4,GSAS,Doctor of Philosophy,Adv Stdng,Chemistry,CHEMPHD,Major,No Dorm,USA,5,3,5,3,4,1,1,1,3,4,5,4,5,3,5,4,4,2,4,4,4,4,4,3,4,3,2,3,4,4,4,1,0,0,0,2,0,4,1,5,5,4,1,0,0,0,0
R_21BrxY8z5hv8Khx,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,ARG,4,5,5,3,6,5,5,5,4,3,6,5,5,4,5,6,5,4,5,5,5,4,4,4,4,5,5,3,4,5,5,0,0,0,0,1,1,0,2,3,1,2,0,0,1,0,0
R_3KTmwk5mS63Oaug,UCOL,Liberal Arts & Sciences,Senior,Economics & Mathematics,ECONMATHBA,Major,Woodruff Hall,USA,5,2,3,3,1,1,1,6,2,2,3,5,3,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,5,7,4,1,0,0,0,0
R_3kFLcauCkq04RYh,GSAS,Doctor of Philosophy,Adv Stdng,Religion,RELPHD,Major,No Dorm,USA,5,3,6,6,4,6,6,5,4,4,7,5,5,6,6,6,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,1,1,1,1,2,0,4,1,4,4,4,1,0,0,0,0
R_22lTi8OuXsi3bVK,UCOL,Liberal Arts & Sciences,Junior,Psychology & Linguistics,PSYCLINGBA,Major,No Dorm,USA,5,4,5,2,2,3,1,1,3,4,6,3,2,4,5,5,,,,,,,,,,,,,4,4,5,1,0,1,0,1,1,0,1,1,6,4,1,0,0,0,0
R_2OGTVtT3WBRmJaU,GSAS,Doctor of Philosophy,Adv Stdng,Philosophy,PHILPHD,Major,No Dorm,USA,5,5,5,3,2,1,1,7,1,3,4,4,5,6,6,4,5,0,0,4,5,0,5,5,5,5,5,0,5,1,2,1,1,1,0,2,0,4,1,5,5,4,1,0,0,0,0
R_2VQh3blMwqbU22b,UCOL,Liberal Arts & Sciences,Senior,Sociology,SOCBA,Major,No Dorm,USA,7,6,7,5,5,7,7,7,3,3,7,7,7,4,7,6,5,5,4,5,5,4,3,4,3,4,1,5,5,4,5,1,1,1,1,1,1,0,1,3,4,2,1,0,0,0,0
R_yPVp7pvloEbfSUN,GNUR,Master of Science in Nursing,Grad Yr 2,Adult-Gerontology NP,NRAGE,Major,No Dorm,USA,6,5,6,3,4,2,1,2,3,4,6,5,5,6,5,4,4,4,4,4,5,4,4,0,3,3,4,4,3,3,2,1,1,0,0,2,0,2,1,3,3,4,1,0,0,0,0
R_3JrQD5Ga3X8T542,UCOL,Liberal Arts & Sciences,Senior,Anthropology & Human Biology,ANTHHBIOBS,Major,Clairmont Apts Tower,USA,5,7,7,6,3,1,3,3,4,3,4,5,4,3,3,3,5,5,4,5,5,0,5,5,5,5,5,0,5,4,4,1,1,0,0,1,1,0,1,2,4,3,1,0,0,0,0
R_qEIGTpe45ckFBBf,UCOL,Liberal Arts & Sciences,Junior,Biology,BIOLOGYBS,Major,Harris Hall,USA,5,5,5,7,7,2,2,2,4,5,5,4,4,4,2,2,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,1,1,0,0,1,2,0,1,4,4,1,1,0,0,0,0
R_1o0hi6G2Nb9fpj7,UCOL,Liberal Arts & Sciences,Junior,Anthropology & Human Biology,ANTHHBIOBS,Major,Hopkins Hall,USA,5,3,6,5,2,2,1,3,5,5,5,6,4,5,3,5,0,4,0,5,4,1,5,5,5,5,5,4,5,5,5,1,1,1,0,1,2,0,1,5,6,1,1,0,0,0,0
R_qPopvW7EiI6i31T,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,No Dorm,USA,1,1,1,1,1,1,1,1,2,2,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,5,5,4,0,1,0,0,0
R_10peNxuC3Qw03JK,UOXF,Associate of Arts,Sophomore,Arts & Sciences,ARTSCIAA,Major,Stone Hall,USA,5,5,5,1,1,3,1,3,2,3,3,3,2,5,3,3,4,3,0,0,3,4,5,4,4,0,0,0,4,2,3,1,0,0,0,1,2,0,1,4,4,2,1,0,0,0,0
R_1QoropvDUI72TRZ,UCOL,Liberal Arts & Sciences,Junior,English,ENGLISHBA,Major,Eagle Row 14,USA,6,6,6,5,1,3,1,6,4,4,5,3,3,6,4,6,4,4,5,5,0,1,4,5,4,5,4,4,5,3,4,1,1,0,0,1,2,0,1,1,1,2,0,0,1,0,0
R_3I5XV07iNBxh35M,UCOL,Liberal Arts & Sciences,Junior,Biology,BIOLOGYBS,Major,Harris Hall,USA,3,2,6,5,3,1,1,3,1,4,5,6,4,7,5,4,4,5,4,4,5,3,5,3,5,5,4,0,5,1,1,1,0,0,0,1,2,0,1,3,3,3,1,0,0,0,0
R_307WtTNyW9aqOcJ,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,Turman,USA,5,5,6,3,4,3,1,2,3,5,4,7,6,3,7,6,4,5,5,5,5,3,5,5,5,4,4,4,5,4,4,1,1,0,0,1,1,0,1,7,7,4,1,0,0,0,0
R_1d0KJKNxzRodpjS,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,Harris Hall,USA,7,5,7,3,5,3,2,5,5,5,6,5,3,3,5,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_1g6zgzFQfTKjmWT,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Harris Hall,USA,5,3,2,2,5,2,1,1,3,3,3,5,2,1,1,2,1,3,2,4,5,3,3,2,5,2,2,3,2,3,3,1,0,0,1,1,2,0,1,3,1,1,1,0,0,0,0
R_28TBjcE4xHAxZjt,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,Clairmont Undergraduate Apts,USA,3,3,5,5,1,1,1,2,2,5,4,3,1,3,2,3,5,0,5,0,4,0,5,0,5,5,5,5,5,3,3,1,1,0,0,1,1,0,1,4,6,4,1,0,0,0,0
R_22nnruky47BmuVE,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,3,5,4,2,1,1,1,3,1,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,1,1,0,0,2,0,4,1,3,4,4,1,0,0,0,0
R_3HMH8RhKjNQ9Esl,GSAS,Doctor of Philosophy,Adv Stdng,Comparative Literature,COMPLITPHD,Major,No Dorm,CAN,3,1,3,2,1,1,1,3,1,1,1,4,2,3,2,1,5,4,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,4,2,1,4,4,1,0,0,0,0
R_3hzkmoveugAtaQ2,GSAS,Doctor of Philosophy,Full Stdng,Computer Science & Informatics,COMPSCIPHD,Major,No Dorm,IRN,7,4,2,7,5,1,1,2,2,2,4,1,2,3,2,3,3,5,4,3,5,4,5,0,4,2,5,0,3,2,1,0,0,0,0,2,0,1,2,4,4,,1,0,0,0,0
R_3EgbaYwzEX66lPf,GSAS,Doctor of Philosophy,Full Stdng,Business,BUSPHD,Major,No Dorm,CHN,7,7,7,7,3,3,1,1,3,3,6,6,6,6,6,7,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,0,0,2,0,1,2,4,3,1,0,0,1,0,0
R_2zI9Jz5V64IFxvM,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,7,5,6,3,1,2,1,5,5,5,5,5,4,3,4,5,4,5,4,4,4,3,5,5,5,5,5,4,4,5,5,1,1,0,0,1,1,0,1,3,3,6,1,0,0,0,0
R_saSgaQ1GztCG6t3,GSAS,Doctor of Philosophy,Full Stdng,Religion,RELPHD,Major,No Dorm,USA,6,3,5,4,2,1,2,6,3,3,6,7,7,7,5,4,3,3,5,3,4,5,5,5,3,4,3,4,4,3,5,1,1,1,0,2,0,1,1,5,4,4,0,0,1,0,0
R_3HYbYtu3Lc9mChH,UCOL,Liberal Arts & Sciences,Junior,Media Studies,MEDIASTBA,Major,No Dorm,USA,7,7,6,7,6,6,6,5,3,3,6,5,4,5,5,5,1,3,3,3,3,3,4,5,3,3,3,3,3,4,5,0,0,0,0,1,1,0,1,5,4,4,1,0,0,0,0
R_ZeFLjdSCh3uLpf3,UCOL,Liberal Arts & Sciences,Junior,Environmental Sciences,ENVSBS,Major,Clairmont Apts Tower,USA,6,4,4,5,1,3,5,6,3,3,6,6,5,4,5,6,5,4,5,4,5,4,5,5,5,0,5,5,5,3,3,1,1,0,0,1,1,0,1,5,4,4,1,0,0,0,0
R_1ifb3gBDFfnn4ih,GSAS,Doctor of Philosophy,Adv Stdng,Religion,RELPHD,Major,No Dorm,USA,5,2,4,5,4,1,1,1,3,5,4,5,5,3,4,4,3,2,3,2,4,3,4,4,1,2,3,2,2,4,4,1,1,0,0,2,0,4,1,4,6,4,1,0,0,0,0
R_3lYRfUCL3Dz5ZGq,GSAS,Doctor of Philosophy,Adv Stdng,Religion,RELPHD,Major,No Dorm,USA,5,6,4,5,4,2,2,5,3,2,6,7,7,1,5,7,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,1,1,1,1,2,0,4,1,7,5,4,0,0,1,0,0
R_1hZ5udbwuxCIQ46,UCOL,Liberal Arts & Sciences,Senior,Biology,BIOLOGYBS,Major,No Dorm,USA,6,5,6,4,3,3,2,4,2,4,4,2,4,4,3,5,5,3,5,4,4,3,3,4,4,3,3,2,4,4,4,1,1,0,0,1,1,0,1,7,6,4,1,0,0,0,0
R_PODMWmD6ZdhETFn,UCOL,Liberal Arts & Sciences,Junior,Psychology,PSYCHBA,Major,Eagle Row 15,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_2wRINGtZOPpT2Yu,GSAS,Doctor of Philosophy,Adv Stdng,Psychology,PSYCPHD,Major,No Dorm,USA,5,3,3,2,4,1,1,2,2,3,4,3,3,7,2,4,4,4,5,4,3,3,5,2,4,4,5,0,3,3,4,1,1,0,0,2,0,4,1,4,3,4,1,0,0,0,0
R_31WnYxu0Y1t7uNC,GSAS,Doctor of Philosophy,Adv Stdng,Biomedical Engineering,BMEDENGPHD,Major,No Dorm,USA,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,3,4,3,2,2,4,4,2,4,3,3,3,0,5,5,5,0,1,0,0,2,0,4,1,5,5,1,0,0,1,0,0
R_1ruXVeM42v6laDb,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,7,6,7,7,6,1,1,4,1,1,7,6,4,4,5,6,5,5,5,5,5,5,5,5,4,5,5,4,4,2,3,1,1,0,0,2,0,4,1,5,7,4,1,0,0,0,0
R_2abllq6ik9DL5US,UCOL,Liberal Arts & Sciences,Senior,"Mathematics, Applied",MATHAPPBS,Major,Evans Hall,USA,6,4,5,6,5,2,1,5,2,3,5,5,5,7,7,1,3,3,5,2,2,2,4,3,4,5,4,4,4,3,3,1,1,1,1,1,1,0,1,4,4,2,1,0,0,0,0
R_1CiJL301nZRI5Ql,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,Clairmont Undergraduate Apts,USA,6,4,5,7,4,6,1,3,3,5,6,3,3,6,4,4,5,4,5,5,5,4,5,5,5,5,4,4,5,4,4,1,1,0,0,1,1,0,1,5,7,1,1,0,0,0,0
R_1eEmZVhEl9C9d3O,UCOL,Liberal Arts & Sciences,Junior,English,ENGLISHBA,Major,Eagle Row 14,USA,7,5,3,4,7,5,2,5,5,5,7,6,5,7,5,7,5,2,5,5,5,5,5,4,5,5,5,5,5,3,2,1,1,1,0,1,2,0,1,7,2,4,1,0,0,0,0
R_3kwh3QuW5rGmFKH,UCOL,Liberal Arts & Sciences,Junior,Environmental Sciences,ENVSBS,Major,Woodruff Hall,USA,6,5,5,4,3,5,3,6,3,4,6,6,6,5,6,6,5,4,4,5,5,4,3,3,4,3,4,3,3,4,4,1,1,0,1,1,2,0,1,6,6,4,0,0,1,0,0
R_3PAl82ioNI6DnpD,UCOL,Liberal Arts & Sciences,Senior,Chemistry,CHEMBS,Major,Clairmont Undergraduate Apts,USA,5,5,6,6,4,3,1,5,3,4,7,5,6,7,6,6,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,1,1,0,1,1,1,0,1,4,7,1,1,0,0,0,0
R_elmyJpY2VGx19cZ,UCOL,Liberal Arts & Sciences,Senior,Political Science,POLISCIBA,Major,Clairmont Residential Center Apts,USA,5,2,2,6,1,1,1,6,2,1,2,3,4,5,4,5,4,4,3,5,5,5,4,4,4,5,5,3,4,3,1,1,1,0,0,1,1,0,1,4,4,4,0,0,1,0,0
R_OCfR3Mv614RuTuh,UCOL,Liberal Arts & Sciences,Sophomore,Psychology,PSYCHBA,Major,Harris Hall,USA,3,3,4,6,2,3,2,1,3,2,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,3,3,3,3,1,1,0,0,1,2,0,1,4,4,3,1,0,0,0,0
R_6kQyTg2x9dhyisx,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,Clairmont Undergraduate Apts,USA,6,7,6,4,7,6,3,2,2,3,5,5,6,5,6,4,4,5,4,4,3,4,5,4,4,5,5,5,4,4,5,0,1,1,0,1,1,0,2,6,6,1,1,0,0,0,0
R_27Ha7Z76VmIN6VB,UCOL,Liberal Arts & Sciences,Sophomore,Undeclared - Arts & Sciences,UNDECLARED,Major,Harris Hall,USA,4,4,5,7,2,6,1,3,4,5,6,5,5,4,3,4,0,0,3,4,3,0,5,5,5,5,0,5,4,5,5,1,1,0,0,1,2,0,1,3,3,3,1,0,0,0,0
R_1IEu4lCuIvd2GEn,UCOL,Liberal Arts & Sciences,Sophomore,History,HISTORYBA,Major,Woodruff Hall,USA,1,1,1,3,2,1,1,1,3,3,1,1,1,1,1,1,5,3,3,3,3,5,3,4,3,5,3,3,3,3,4,1,1,0,0,1,2,0,1,3,6,4,0,0,1,0,0
R_1JFninkgSGZpmo9,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,Woodruff Hall,USA,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,0,1,5,7,6,0,0,1,0,0
R_qPXmTiEYyOujoqt,UCOL,Liberal Arts & Sciences,Junior,International Studies,INTLSTUBA,Major,Woodruff Hall,USA,5,6,5,7,7,1,1,7,4,4,6,5,5,7,7,6,4,0,0,0,0,4,5,2,5,5,3,5,4,4,5,1,1,0,0,1,2,0,1,4,6,2,1,0,0,0,0
R_3My6ZCcvsiTNBMB,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,No Dorm,USA,5,6,6,4,3,4,3,3,3,4,5,5,4,4,3,4,5,0,0,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,1,1,0,1,5,5,4,1,0,0,0,0
R_1ifbr1dSxSHVDLz,UCOL,Liberal Arts & Sciences,Junior,Biology,BIOLOGYBA,Major,Clairmont Undergraduate Apts,USA,6,5,7,5,1,1,1,1,4,5,5,4,4,3,3,2,4,3,5,2,3,4,5,5,4,4,4,5,5,4,5,1,1,0,0,1,1,0,1,6,4,3,1,0,0,0,0
R_1GGg5xl8wZWhdjb,UCOL,Liberal Arts & Sciences,Senior,Biology,BIOLOGYBS,Major,No Dorm,USA,7,3,5,3,6,7,1,7,5,5,7,7,7,5,6,6,5,1,3,0,0,3,4,2,1,3,3,0,0,4,4,1,1,0,0,1,1,0,1,4,4,4,0,0,1,0,0
R_1FlhlqYbYwoldss,UCOL,Liberal Arts & Sciences,Junior,Neuroscience & Behav Biology,NEUROBBBS,Major,Clairmont Undergraduate Apts,USA,6,5,5,6,3,2,2,2,3,5,5,5,4,4,4,5,5,5,4,4,4,4,3,3,4,4,5,4,4,4,4,1,0,1,0,1,1,0,1,4,5,6,0,0,1,0,0
R_rl5ug8kw5fK51lv,UNUR,Bachelor of Science in Nursing,Junior,Nursing,NURSINGBSN,Major,Clairmont Residential Center Apts,SGP,7,5,6,6,2,1,1,3,2,3,4,2,2,4,3,2,4,3,5,5,4,5,5,3,0,0,0,3,0,2,1,1,1,0,0,1,1,0,1,5,4,6,1,0,0,0,0
R_3r3btfMgKeBY6pz,UCOL,Liberal Arts & Sciences,Senior,Economics,ECONBA,Major,Clairmont Apts Tower,USA,5,5,5,5,4,2,4,5,3,3,5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,2,2,2,4,3,2,0,0,1,0,1,1,0,1,3,7,1,0,0,1,0,0
R_W0xI5VYt483HcEp,UCOL,Liberal Arts & Sciences,Senior,French Studies,FRENSTUDBA,Major,Clairmont Apts Tower,USA,4,3,3,7,5,2,2,5,3,5,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_0GR4uUGaJ3W9pMl,UCOL,Liberal Arts & Sciences,Senior,Film Studies,FILMSTBA,Major,Clairmont Residential Center Apts,USA,3,2,5,7,2,4,2,1,4,4,4,3,3,6,2,3,4,4,5,4,0,4,5,5,4,5,3,0,5,5,5,1,1,0,0,1,1,0,1,3,1,4,1,0,0,0,0
R_DHI0JWN6mmxdD9v,GSAS,Master of Arts,Full Stdng,Bioethics,BIOETHMA,Major,No Dorm,USA,5,4,6,2,5,1,1,1,2,3,6,6,4,5,6,6,5,0,4,5,5,3,5,0,5,5,5,4,4,2,2,1,1,0,1,2,0,3,1,4,3,4,1,0,0,0,0
R_3RyAKeHdvBVxUBf,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,6,4,5,2,2,2,1,3,3,3,5,6,6,7,5,6,4,0,0,4,5,4,5,5,5,4,5,0,4,3,3,1,1,0,0,1,1,0,1,4,7,6,1,0,0,0,0
R_BAm1QuhWXr4k2hH,UCOL,Liberal Arts & Sciences,Junior,Sociology,SOCBA,Major,No Dorm,USA,5,4,2,,5,1,1,5,1,4,5,5,3,3,5,1,5,5,5,5,5,5,5,5,5,4,4,0,4,3,2,1,1,1,0,1,1,0,1,6,6,1,1,0,0,0,0
R_27rgOX2f8zw9vQO,UCOL,Liberal Arts & Sciences,Junior,Psychology,PSYCHBA,Major,No Dorm,USA,7,5,5,4,3,2,1,2,3,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,5,4,4,4,5,1,1,1,1,1,1,0,1,4,5,6,1,0,0,0,0
R_2b466enNPDnvhvc,UCOL,Liberal Arts & Sciences,Senior,Film Studies,FILMSTBA,Major,No Dorm,USA,4,4,7,5,3,2,2,6,3,4,3,2,1,1,1,1,4,0,3,3,4,5,4,4,3,3,3,5,4,3,2,1,1,0,0,1,1,0,1,4,6,4,0,0,1,0,0
R_1d15vv2Hp0pVZCI,UCOL,Liberal Arts & Sciences,Junior,Quantitative Science,QSSBS,Major,Clairmont Undergraduate Apts,USA,6,5,3,4,4,4,1,5,5,5,4,5,4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,4,4,4,0,0,1,0,0
R_3L1hd6t3BYU5C,UCOL,Liberal Arts & Sciences,Senior,Anthropology & Human Biology,ANTHHBIOBS,Major,No Dorm,USA,3,1,3,5,2,1,1,4,2,3,4,4,4,2,3,4,5,0,5,3,3,0,5,5,5,3,5,0,5,3,5,0,1,0,0,1,1,0,1,4,4,4,1,0,0,0,0
R_1F5Py4nfd1r3BeE,UCOL,Liberal Arts & Sciences,Senior,Neuroscience & Behav Biology,NEUROBBBS,Major,Clairmont Undergraduate Apts,USA,5,2,3,7,3,6,1,4,5,4,5,6,4,4,3,4,5,3,5,5,5,0,5,5,3,0,5,0,3,4,4,1,1,0,0,1,1,0,1,5,4,1,0,0,1,0,0
R_3JxE3sHtdZRi010,UCOL,Liberal Arts & Sciences,Senior,Chemistry,CHEMBS,Major,Clairmont Undergraduate Apts,USA,7,4,5,2,1,2,1,5,3,5,5,2,1,7,2,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_1dEvGj9D9Z2x7sY,THEO,Master of Divinity,Prof 2,Divinity,MDVDIVIN,Major,No Dorm,USA,4,5,6,6,4,1,1,2,3,3,4,3,3,4,2,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_xxUwGXnDGj0X8id,PUBH,Master of Public Health,Grad Yr 2,Epidemiology,EPIMPH,Major,No Dorm,USA,5,3,5,4,3,2,1,2,3,4,7,6,6,5,4,4,5,3,5,5,5,5,5,5,5,5,5,4,5,3,4,1,1,1,1,2,0,2,1,3,1,4,1,0,0,0,0
R_2Y3tSl7dk3aqoiU,GSAS,Doctor of Philosophy,Full Stdng,Biomedical Engineering,BMEDENGPHD,Major,No Dorm,USA,5,4,5,6,2,1,1,1,1,1,4,7,4,5,4,6,5,5,5,5,5,5,5,4,3,2,4,5,5,3,4,1,1,1,1,2,0,4,1,5,4,4,0,0,1,0,0
R_2qkE2OCtR5bJh5a,UBUS,Bachelor of Business Admin,Junior,Business Administration,BUSBBA,Major,No Dorm,USA,5,6,4,7,3,3,2,2,3,4,5,5,5,6,5,4,5,4,5,3,3,3,5,3,5,4,5,5,4,4,4,1,1,1,0,1,1,0,1,3,4,1,0,0,1,0,0
R_3m3nUJc6ZXwC1w5,UCOL,Liberal Arts & Sciences,Junior,Chemistry,CHEMBS,Major,Woodruff Hall,USA,7,4,7,3,4,1,1,6,3,3,7,7,7,7,6,7,5,5,5,4,5,3,5,3,3,5,5,5,5,5,5,1,1,0,0,1,2,0,1,4,6,4,0,0,1,0,0
R_3FabwadbxYK6LaV,UCOL,Liberal Arts & Sciences,Junior,Anthropology & Human Biology,ANTHHBIOBS,Major,Clairmont Undergraduate Apts,USA,5,7,3,3,7,1,1,5,3,4,5,6,5,6,6,6,4,0,0,5,5,0,2,2,3,3,0,0,0,3,1,1,0,0,0,1,1,0,1,3,5,6,1,0,0,0,0
R_31tSizVR7gWwEwM,UCOL,Liberal Arts & Sciences,Senior,International Studies,INTLSTUBA,Major,Evans Hall,USA,7,7,2,6,5,2,2,2,3,5,4,6,4,2,3,2,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,1,1,0,0,1,1,0,1,4,7,1,0,0,1,0,0
R_2YVZXrIMh5PgPv4,UCOL,Liberal Arts & Sciences,Senior,Biology,BIOLOGYBS,Major,No Dorm,USA,5,2,6,7,3,1,6,3,5,5,6,5,4,3,3,6,5,5,5,5,5,5,5,3,4,4,5,5,5,5,4,1,1,1,1,1,1,0,1,5,6,4,0,0,1,0,0
R_xoAnynJjTsGUB4B,PUBH,Master of Public Health,Grad Yr 1,Environmental Health,EOHMPH,Major,No Dorm,USA,6,6,6,5,5,3,2,4,4,3,4,4,4,5,5,4,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_2DV1EMTzBVvsQ9B,UCOL,Liberal Arts & Sciences,Junior,Undeclared - Arts & Sciences,UNDECLARED,Major,Woodruff Hall,USA,6,5,4,7,5,3,1,3,4,4,6,4,4,3,4,4,0,3,4,0,4,3,5,4,3,5,4,4,3,2,3,1,1,0,0,1,2,0,1,4,4,1,1,0,0,0,0
R_brq1JCuhObVcp8J,UCOL,Liberal Arts & Sciences,Senior,Music,MUSICBA,Major,Clairmont Undergraduate Apts,USA,5,3,5,2,2,1,1,3,1,5,3,3,2,5,3,5,4,3,3,5,4,0,5,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,1,5,6,4,1,0,0,0,0
