ResponseID,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_eWiJs0DbnNYNRtv,UNUR,Bachelor of Science in Nursing,Senior,Nursing,NRBSNAM,Major,No Dorm,USA,7,7,7,1,3,1,1,5,3,4,7,7,7,7,7,5,4,5,5,0,0,4,4,4,0,0,0,0,0,3,2,0,1,0,0,1,1,0,2,4,4,1,1,0,0,0,0
R_2CKuNSoesTeD593,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,6,4,5,6,6,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_6AwQjzdW4yjrN61,GSAS,Doctor of Philosophy,Adv Stdng,Chemistry,CHEMPHD,Major,No Dorm,USA,3,3,5,5,1,1,1,1,5,5,5,4,4,6,4,2,3,0,3,0,0,0,3,1,3,0,3,0,4,4,4,1,1,0,1,2,0,4,1,3,4,4,0,0,1,0,0
R_urImsiIQVgnASNb,PUBH,Master of Public Health,Grad Yr 2,Health Policy and Management,HPMMPH,Major,No Dorm,USA,5,5,6,2,3,1,1,1,3,3,5,4,4,4,4,4,4,5,0,4,5,0,5,4,5,4,4,5,4,4,0,1,1,1,0,2,0,3,1,6,4,4,1,0,0,0,0
R_1oiNAgCM5MliY7F,GSAS,Doctor of Philosophy,Adv Stdng,Environmental Health Sciences,EHSPHD,Major,No Dorm,USA,7,3,3,2,1,1,1,1,1,1,4,6,6,1,3,3,3,5,0,3,1,0,4,1,0,0,4,0,3,0,2,1,1,1,0,2,0,3,2,5,5,4,0,0,1,0,0
R_6gx76udDM7CRFCx,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,5,5,6,3,4,1,1,5,3,3,5,7,5,4,3,6,5,4,5,5,5,4,5,5,5,4,5,5,5,2,3,1,1,1,1,2,0,3,1,3,4,4,0,0,1,0,0
R_a5BINViv70yKoNz,PUBH,Master of Public Health,Grad Yr 1,Prevention Science,PSMPH,Major,No Dorm,USA,6,4,5,3,4,1,1,1,4,3,6,6,5,5,6,6,2,5,0,5,0,0,0,5,0,5,5,5,0,5,2,1,1,0,0,2,0,1,1,4,1,4,1,0,0,0,0
R_3ke90IKWaAVxwQ2,LAW,Juris Master,Graduate,Juris Master,LAWJM,Major,No Dorm,USA,3,3,2,2,2,1,1,1,3,4,3,,2,2,2,2,0,0,0,0,4,3,4,0,4,2,0,3,3,3,1,0,0,0,0,2,0,2,1,1,1,3,1,0,0,0,0
R_WCltawtIhQaRRrX,PUBH,Master of Public Health,Grad Yr 1,Applied Pub Health Informatics,APHIMPH,Major,No Dorm,USA,6,7,5,7,7,4,1,1,3,3,6,6,6,6,6,7,5,5,4,4,5,5,5,5,5,5,5,4,5,5,0,0,1,0,1,2,0,1,1,3,2,3,1,0,0,1,0
R_Om9eiwxMs8bpVex,THEO,Non-Degree Theology,ND Prof,Special Standing Student,SPECSTTHEO,Non-Degree,No Dorm,USA,6,3,3,2,2,1,1,1,3,4,5,4,4,6,4,4,5,5,5,5,0,4,4,0,5,0,5,0,0,3,5,1,0,0,0,3,0,0,1,1,1,3,1,0,0,0,0
R_1eWqsejAOY8gfhT,UCOL,Liberal Arts & Sciences,Junior,Neuroscience & Behav Biology,NEUROBBBS,Major,No Dorm,USA,6,3,5,5,6,1,3,6,4,4,7,7,7,3,5,7,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,1,1,1,0,1,1,0,1,4,4,4,0,0,1,0,0
R_2ru4p7tEUnzpHsh,GSAS,Doctor of Philosophy,Adv Stdng,Psychology,PSYCPHD,Major,No Dorm,USA,5,3,4,5,1,4,1,3,3,4,5,6,6,3,4,5,4,0,5,5,5,4,5,5,0,0,5,4,4,4,3,1,1,0,1,2,0,2,1,5,3,4,0,0,1,0,0
R_po39GKS1iqSgP7P,PUBH,Master of Public Health,Grad Yr 2,Environmental Health,EOHMPH,Major,No Dorm,USA,5,6,6,3,4,1,1,1,2,3,7,7,7,7,4,5,1,0,5,5,1,5,5,0,4,5,4,3,5,4,5,1,1,1,1,2,0,2,1,2,2,4,1,0,0,0,0
R_27Eb1d0AQFTrBiF,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,5,5,6,7,2,2,1,2,3,3,7,6,6,5,5,6,4,4,4,4,4,4,5,4,5,4,4,3,4,3,4,1,1,0,0,3,0,0,1,5,4,1,0,0,1,0,0
R_3fUJ8bIqxEB1OXN,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,5,4,5,7,5,2,1,4,3,2,6,5,5,6,5,5,4,5,5,5,5,5,5,5,3,3,5,5,5,4,4,1,1,0,0,3,0,0,1,7,5,4,1,0,0,0,0
R_qITkhDES2nOKQ0N,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,6,7,6,6,2,1,1,3,3,4,6,7,5,6,4,7,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_3MR7jtXNn1rc2ex,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,USA,5,3,4,1,1,1,1,1,3,2,4,4,3,2,1,2,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_4GVYCYjwFptCbux,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,7,5,5,5,3,1,1,1,1,1,6,6,6,7,3,6,5,0,0,5,2,0,5,5,5,5,5,0,5,1,1,1,1,0,0,3,0,0,2,5,5,4,1,0,0,0,0
